visit,shape,trial,phase,command_ms,cli_cpu_ms,engine_cpu_ms,combined_cpu_ms
0,4cpu-6144mib,0,up,1245.854125,43.264,818.459917,861.723917
0,4cpu-6144mib,0,down,360.8035,13.796,130.269875,144.065875
0,4cpu-6144mib,0,restore,1090.79025,38.363,654.096083,692.459083
0,4cpu-6144mib,0,remove,291.701958,12.937,103.975291,116.912291
0,4cpu-6144mib,1,up,1058.535334,34.469,623.8345,658.3035
0,4cpu-6144mib,1,down,361.457792,14.719,122.191458,136.910458
0,4cpu-6144mib,1,restore,948.978458,35.447,576.543916,611.990916
0,4cpu-6144mib,1,remove,328.236041,15.888,118.627167,134.515167
0,4cpu-6144mib,2,up,917.692291,34.364,578.755916,613.119916
0,4cpu-6144mib,2,down,448.185167,12.474,106.911833,119.385833
0,4cpu-6144mib,2,restore,960.311417,34.18,577.542,611.722
0,4cpu-6144mib,2,remove,460.365333,16.045,151.092708,167.137708
1,2cpu-6144mib,0,up,1029.702125,35.711,571.182959,606.893959
1,2cpu-6144mib,0,down,291.604333,11.519,99.570917,111.089917
1,2cpu-6144mib,0,restore,946.705542,35.342,536.995,572.337
1,2cpu-6144mib,0,remove,351.518584,18.937,123.943125,142.880125
1,2cpu-6144mib,1,up,906.468667,37.905,536.531584,574.436584
1,2cpu-6144mib,1,down,294.664333,11.748,97.987,109.735
1,2cpu-6144mib,1,restore,976.086583,34.665,564.905167,599.570167
1,2cpu-6144mib,1,remove,287.240958,12.511,94.496,107.007
1,2cpu-6144mib,2,up,861.019541,33.46,512.994167,546.454167
1,2cpu-6144mib,2,down,323.949708,11.776,100.015208,111.791208
1,2cpu-6144mib,2,restore,946.102583,33.698,520.522917,554.220917
1,2cpu-6144mib,2,remove,234.958167,12.577,90.209917,102.786917
2,4cpu-4096mib,0,up,902.022625,34.657,572.923375,607.580375
2,4cpu-4096mib,0,down,377.223916,14.143,124.780125,138.923125
2,4cpu-4096mib,0,restore,955.545375,44.125,641.580917,685.705917
2,4cpu-4096mib,0,remove,444.391,19.478,130.803875,150.281875
2,4cpu-4096mib,1,up,973.027667,36.408,597.940291,634.348291
2,4cpu-4096mib,1,down,331.810792,13.522,111.142834,124.664834
2,4cpu-4096mib,1,restore,991.869333,35.385,582.57225,617.95725
2,4cpu-4096mib,1,remove,326.48375,14.789,106.892334,121.681334
2,4cpu-4096mib,2,up,1145.071291,39.589,792.547333,832.136333
2,4cpu-4096mib,2,down,334.688667,13.902,121.181542,135.083542
2,4cpu-4096mib,2,restore,1036.174083,37.761,617.98625,655.74725
2,4cpu-4096mib,2,remove,336.425,18.23,124.680958,142.910958
3,2cpu-4096mib,0,up,901.720417,35.257,512.962042,548.219042
3,2cpu-4096mib,0,down,281.009875,12.774,106.237666,119.011666
3,2cpu-4096mib,0,restore,891.4995,34.543,516.26625,550.80925
3,2cpu-4096mib,0,remove,266.796041,12.855,94.959708,107.814708
3,2cpu-4096mib,1,up,944.941666,34.62,562.666584,597.286584
3,2cpu-4096mib,1,down,286.550542,15.536,107.608667,123.144667
3,2cpu-4096mib,1,restore,947.391708,34.427,512.75875,547.18575
3,2cpu-4096mib,1,remove,273.904167,13.179,96.77125,109.95025
3,2cpu-4096mib,2,up,872.704292,35.112,520.661917,555.773917
3,2cpu-4096mib,2,down,272.389791,12.045,101.660417,113.705417
3,2cpu-4096mib,2,restore,937.735916,32.502,507.9825,540.4845
3,2cpu-4096mib,2,remove,335.815542,12.352,93.260542,105.612542
4,2cpu-4096mib,0,up,914.588125,36.028,535.799042,571.827042
4,2cpu-4096mib,0,down,277.735042,12.073,96.012958,108.085958
4,2cpu-4096mib,0,restore,959.716458,40.321,576.156959,616.477959
4,2cpu-4096mib,0,remove,332.933458,13.012,99.07525,112.08725
4,2cpu-4096mib,1,up,859.416042,34.371,510.568417,544.939417
4,2cpu-4096mib,1,down,279.715708,12.057,94.521416,106.578416
4,2cpu-4096mib,1,restore,946.255625,34.415,529.421,563.836
4,2cpu-4096mib,1,remove,275.33925,12.279,101.566167,113.845167
4,2cpu-4096mib,2,up,955.567,35.017,531.896125,566.913125
4,2cpu-4096mib,2,down,271.801125,12.35,96.369042,108.719042
4,2cpu-4096mib,2,restore,1093.619166,43.661,704.299458,747.960458
4,2cpu-4096mib,2,remove,334.700167,13.008,126.074542,139.082542
5,4cpu-4096mib,0,up,1041.226709,36.987,607.118584,644.105584
5,4cpu-4096mib,0,down,388.02575,15.85,130.257292,146.107292
5,4cpu-4096mib,0,restore,997.590084,36.047,604.576542,640.623542
5,4cpu-4096mib,0,remove,281.767083,12.148,98.194292,110.342292
5,4cpu-4096mib,1,up,1040.651334,40.187,718.759584,758.946584
5,4cpu-4096mib,1,down,327.846833,15.351,143.132167,158.483167
5,4cpu-4096mib,1,restore,990.920917,34.604,571.97725,606.58125
5,4cpu-4096mib,1,remove,336.626834,19.424,139.186,158.61
5,4cpu-4096mib,2,up,1101.714959,41.872,613.255583,655.127583
5,4cpu-4096mib,2,down,334.997167,13.167,119.494458,132.661458
5,4cpu-4096mib,2,restore,996.485125,37.606,611.805833,649.411833
5,4cpu-4096mib,2,remove,396.491416,19.623,138.278708,157.901708
6,2cpu-6144mib,0,up,995.803875,36.076,575.83075,611.90675
6,2cpu-6144mib,0,down,275.588959,12.773,98.028125,110.801125
6,2cpu-6144mib,0,restore,944.778167,37.619,550.125333,587.744333
6,2cpu-6144mib,0,remove,274.899959,12.959,96.833667,109.792667
6,2cpu-6144mib,1,up,897.487667,34.881,506.000083,540.881083
6,2cpu-6144mib,1,down,272.417375,12.787,111.019833,123.806833
6,2cpu-6144mib,1,restore,949.130625,36.323,549.980541,586.303541
6,2cpu-6144mib,1,remove,324.005625,15.068,128.218084,143.286084
6,2cpu-6144mib,2,up,904.538041,33.833,505.344083,539.177083
6,2cpu-6144mib,2,down,341.669875,13.227,104.624666,117.851666
6,2cpu-6144mib,2,restore,948.886375,33.942,516.417666,550.359666
