visit,shape,trial,phase,command_ms,cli_cpu_ms,engine_cpu_ms,combined_cpu_ms,load_ms
0,4cpu-6144mib,0,up,3781.461167,141.578,4411.630042,4553.208042,1730.018126
0,4cpu-6144mib,0,down,418.014,13.334,166.439541,179.773541,0
0,4cpu-6144mib,0,restore,3701.865167,131.608,4200.408291,4332.016291,1598.664709
0,4cpu-6144mib,0,remove,330.359375,13.296,135.49175,148.78775,0
0,4cpu-6144mib,1,up,3672.844292,131.646,4146.312042,4277.958042,1553.643085
0,4cpu-6144mib,1,down,335.711875,13.69,132.311167,146.001167,0
0,4cpu-6144mib,1,restore,3571.944125,133.211,4174.273916,4307.484916,1591.790876
0,4cpu-6144mib,1,remove,335.756917,13.378,121.725792,135.103792,0
1,2cpu-4096mib,0,up,3588.948667,130.874,3935.384041,4066.258041,1609.826501
1,2cpu-4096mib,0,down,280.25325,11.581,107.3655,118.9465,0
1,2cpu-4096mib,0,restore,3834.282541,153.742,4144.196416,4297.938416,1813.590709
1,2cpu-4096mib,0,remove,277.642375,12.747,105.952458,118.699458,0
1,2cpu-4096mib,1,up,2688.184833,85.6,3857.747209,3943.347209,1608.391626
1,2cpu-4096mib,1,down,272.277792,11.934,106.342125,118.276125,0
1,2cpu-4096mib,1,restore,3692.060833,137.968,3974.937375,4112.905375,1598.222792
1,2cpu-4096mib,1,remove,272.580916,12.39,104.854625,117.244625,0
2,2cpu-4096mib,0,up,3797.000125,146.112,4045.604958,4191.716958,1659.470834
2,2cpu-4096mib,0,down,336.268167,14.095,127.830542,141.925542,0
2,2cpu-4096mib,0,restore,2649.404166,84.164,3883.247625,3967.411625,1643.585667
2,2cpu-4096mib,0,remove,325.0675,13.82,111.995167,125.815167,0
2,2cpu-4096mib,1,up,2633.752833,78.512,3818.375792,3896.887792,1619.67925
2,2cpu-4096mib,1,down,379.641166,16.725,148.102917,164.827917,0
2,2cpu-4096mib,1,restore,3781.413833,146.345,4072.040791,4218.385791,1691.908751
2,2cpu-4096mib,1,remove,326.9755,12.937,110.129416,123.066416,0
3,4cpu-6144mib,0,up,2645.145458,80.698,3987.817208,4068.515208,1534.746542
3,4cpu-6144mib,0,down,378.264375,14.37,139.109833,153.479833,0
3,4cpu-6144mib,0,restore,3698.11375,145.92,4308.239542,4454.159542,1627.970626
3,4cpu-6144mib,0,remove,322.553208,15.019,128.005042,143.024042,0
3,4cpu-6144mib,1,up,3646.338875,142.387,4216.301583,4358.688583,1582.936751
3,4cpu-6144mib,1,down,438.440375,14.944,152.488625,167.432625,0
3,4cpu-6144mib,1,restore,3742.979208,148.454,4222.198209,4370.652209,1601.541751
3,4cpu-6144mib,1,remove,323.359292,14.49,130.556791,145.046791,0
