trial,variant,phase,wall_ms,command_ms,engine_cpu_ms
0,baseline,up,1214.371,1101.836,713.329
0,baseline,down,520.523,437.142,169.147
0,baseline,restore,1185.836,1078.502,657.858
0,baseline,remove,473.731,393.452,131.231
1,concurrent,up,1168.15,1057.272,596.078
1,concurrent,down,453.809,369.272,126.171
1,concurrent,restore,1382.36,1264.78,841.109
1,concurrent,remove,507.707,414.956,154.387
2,baseline,up,1289.315,1170.409,688.935
2,baseline,down,492.304,401.328,127.413
2,baseline,restore,1199.265,1084.333,598.902
2,baseline,remove,543.423,457.805,144.368
3,baseline,up,1397.252,1257.838,839.922
3,baseline,down,492.384,405.158,140.467
3,baseline,restore,1186.405,1075.07,698.324
3,baseline,remove,502.895,409.955,130.443
4,concurrent,up,1116.218,1001.918,589.669
4,concurrent,down,479.008,387.772,122.771
4,concurrent,restore,1331.691,1193.094,763.647
4,concurrent,remove,568.592,478.769,165.666
5,baseline,up,1175.214,1038.122,644.97
5,baseline,down,544.267,451.546,148.373
5,baseline,restore,1153.158,1040.806,600.897
5,baseline,remove,507.481,415.126,139.558
6,baseline,up,1293.404,1155.491,796.71
6,baseline,down,490.66,395.466,130.462
6,baseline,restore,1228.641,1112.026,651.799
6,baseline,remove,512.99,423.614,160.471
7,concurrent,up,1075.742,971.348,573.82
7,concurrent,down,443.502,345.098,114.414
7,concurrent,restore,1229.846,1092.703,600.34
7,concurrent,remove,573.895,468.571,190.916
8,baseline,up,1207.548,1098.408,618.885
8,baseline,down,481.964,389.589,155.708
8,baseline,restore,1126.611,1009.85,610.355
8,baseline,remove,460.378,372.683,125.11
9,baseline,up,1137.538,1017.669,589.107
9,baseline,down,575.831,468.568,201.739
9,baseline,restore,1212.801,1104.928,652.257
9,baseline,remove,450.329,368.252,116.531
10,concurrent,up,1164.453,1060.467,588.963
10,concurrent,down,463.812,379.567,130.546
10,concurrent,restore,1148.343,1042.067,599.905
10,concurrent,remove,555.802,441.862,155.836
11,baseline,up,1207.32,1104.451,693.084
11,baseline,down,545.153,437.741,150.036
11,baseline,restore,1192.587,1075.323,608.674
11,baseline,remove,436.322,344.256,106.031
