trial,target_phase,assigned_variant,phase,phase_variant,command_ms,cli_cpu_ms,command_engine_cpu_ms,combined_cpu_ms,phase_wall_ms,cli_max_rss_bytes
0,down,baseline,up,baseline,1261.796,123.19,589.066,712.256,1420.497,11108352
0,down,baseline,down,baseline,724.432,102.284,161.18,263.464,849.316,9633792
0,down,baseline,restore,baseline,1250.816,126.618,646.004,772.622,1396.729,11206656
0,down,baseline,remove,baseline,694.767,98.674,132.241,230.915,805.047,9633792
1,down,concurrent,up,baseline,1261.185,103.544,581.635,685.179,1397.142,11108352
1,down,concurrent,down,concurrent,627.858,89.196,124.868,214.064,740.828,9633792
1,down,concurrent,restore,baseline,1477.477,123.978,767.239,891.217,1614.007,11255808
1,down,concurrent,remove,baseline,666.104,79.992,129.986,209.978,774.454,9601024
2,down,concurrent,up,baseline,1251.999,119.428,597.346,716.774,1384.466,11141120
2,down,concurrent,down,concurrent,669.821,84.744,135.013,219.757,780.593,9601024
2,down,concurrent,restore,baseline,1397.004,129.302,721.598,850.9,1562.552,11141120
2,down,concurrent,remove,baseline,661.849,97.388,141.578,238.966,782.1,9666560
3,down,baseline,up,baseline,1325.539,106.764,636.43,743.194,1455.523,11190272
3,down,baseline,down,baseline,716.873,97.853,130.709,228.562,833.554,9666560
3,down,baseline,restore,baseline,1293.671,112.655,609.325,721.98,1425.972,11173888
3,down,baseline,remove,baseline,675.582,91.37,168.603,259.973,802.914,9666560
4,down,concurrent,up,baseline,1260.669,121.759,658.737,780.496,1396.608,11255808
4,down,concurrent,down,concurrent,670.674,86.127,130.623,216.75,798.732,9601024
4,down,concurrent,restore,baseline,1314.836,117.574,662.937,780.511,1455.158,11190272
4,down,concurrent,remove,baseline,577.021,90.955,104.41,195.365,681.912,9584640
5,down,baseline,up,baseline,1292.207,116.051,581.152,697.203,1427.836,11239424
5,down,baseline,down,baseline,591.271,87.988,108.776,196.764,725.322,9584640
5,down,baseline,restore,baseline,1479.482,138.539,762.732,901.271,1622.312,11255808
5,down,baseline,remove,baseline,566.554,86.118,106.043,192.161,673.552,9666560
6,down,baseline,up,baseline,1206.553,119.784,589.904,709.688,1344.807,11190272
6,down,baseline,down,baseline,589.161,88.961,111.255,200.216,689.777,9601024
6,down,baseline,restore,baseline,1266.328,99.036,595.62,694.656,1397.89,11042816
6,down,baseline,remove,baseline,711.493,103.085,181.414,284.499,827.799,9699328
7,down,concurrent,up,baseline,1285.056,122.745,649.368,772.113,1421.622,11272192
7,down,concurrent,down,concurrent,703.792,80.085,146.464,226.549,814.442,9584640
7,down,concurrent,restore,baseline,1282.114,111.9,584.098,695.998,1417.789,11157504
7,down,concurrent,remove,baseline,616.452,90.079,108.687,198.766,727.904,9650176
8,remove,baseline,up,baseline,1352.593,121.129,670.864,791.993,1491.272,11157504
8,remove,baseline,down,baseline,614.522,85.987,116.148,202.135,744.824,9617408
8,remove,baseline,restore,baseline,1298.022,118.949,612.448,731.397,1437.44,11157504
8,remove,baseline,remove,baseline,612.506,90.035,109.441,199.476,727.692,9617408
9,remove,concurrent,up,baseline,1373.382,119.815,741.148,860.963,1535.662,11157504
9,remove,concurrent,down,baseline,691.331,89.106,118.277,207.383,802.629,9601024
9,remove,concurrent,restore,baseline,1356.399,115.479,672.767,788.246,1490.561,11141120
9,remove,concurrent,remove,concurrent,581.619,77.431,110.327,187.758,692.528,9601024
10,remove,concurrent,up,baseline,1254.692,122.314,585.873,708.187,1384.935,11124736
10,remove,concurrent,down,baseline,706.217,92.059,183.094,275.153,833.965,9633792
10,remove,concurrent,restore,baseline,1335.977,118.872,669.622,788.494,1470.843,11190272
10,remove,concurrent,remove,concurrent,561.919,97.102,143.701,240.803,673.551,9617408
11,remove,baseline,up,baseline,1321.628,118.571,612.55,731.121,1455.027,11108352
11,remove,baseline,down,baseline,687.611,89.172,136.683,225.855,811.853,9633792
11,remove,baseline,restore,baseline,1431.603,115.572,810.926,926.498,1596.93,11157504
11,remove,baseline,remove,baseline,612.845,85.65,111.002,196.652,732.104,9617408
12,remove,concurrent,up,baseline,1256.568,119.512,568.432,687.944,1390.629,11141120
12,remove,concurrent,down,baseline,628.223,81.101,126.428,207.529,744.46,9568256
12,remove,concurrent,restore,baseline,1278.441,108.067,582.288,690.355,1413.981,11124736
12,remove,concurrent,remove,concurrent,748.698,100.889,196.849,297.738,866.672,9568256
13,remove,baseline,up,baseline,1390.927,125.284,679.752,805.036,1528.601,11206656
13,remove,baseline,down,baseline,586.462,86.45,117.478,203.928,698.09,9633792
13,remove,baseline,restore,baseline,1217.021,112.125,609.717,721.842,1351.323,11124736
13,remove,baseline,remove,baseline,564.483,85.884,102.255,188.139,676.659,9650176
14,remove,baseline,up,baseline,1376.889,131.613,704.453,836.066,1505.088,11255808
14,remove,baseline,down,baseline,702.923,86.473,140.918,227.391,830.578,9601024
14,remove,baseline,restore,baseline,1298.129,110.412,593.606,704.018,1429.906,11091968
14,remove,baseline,remove,baseline,634.303,87.102,113.308,200.41,741.039,9601024
15,remove,concurrent,up,baseline,1461.495,129.251,826.38,955.631,1595.19,11239424
15,remove,concurrent,down,baseline,606.9,92.556,117.49,210.046,710.433,9666560
15,remove,concurrent,restore,baseline,1295.366,113.677,676.821,790.498,1435.836,11141120
15,remove,concurrent,remove,concurrent,610.958,88.26,128.844,217.104,721.402,9617408
