round,operation,wall_ms,cli_cpu_ms,engine_cpu_ms
0,disk-audit,118.376,67.617,0.545
0,engine-info,337.382,85.782,8.653
1,engine-info,127.118,66.767,5.859
1,disk-audit,72.111,58.055,0.586
2,disk-audit,80.469,59.325,0.193
2,engine-info,121.923,80.034,10.16
3,engine-info,132.282,75.336,7.995
3,disk-audit,71.811,59.476,0.845
4,disk-audit,86.673,59.359,0.72
4,engine-info,140.705,68.875,6.657
5,engine-info,118.013,69.863,6.614
5,disk-audit,83.801,60.371,0.776
6,disk-audit,79.889,60.291,0.092
6,engine-info,130.539,69.456,7.331
7,engine-info,133.661,67.23,6.412
7,disk-audit,78.297,61.865,0.963
