trial,lane,phase,wall_ms_including_readiness_inspection,command_ms,engine_cpu_ms
0,candidate,up,1265.594,1156.764,656.822
0,candidate,down,482.239,402.041,119.431
0,candidate,restore,1228.964,1118.389,605.117
0,candidate,remove,450.147,360.417,122.173
1,compose,up,2663.614,2545.375,1264.018
1,compose,down,331.748,298.115,279.309
1,compose,restore,2601.23,2485.459,1163.962
1,compose,remove,335.047,299.345,309.706
2,compose,up,2593.552,2478.055,1210.473
2,compose,down,321.097,285.632,279.56
2,compose,restore,2593.879,2476.93,1153.131
2,compose,remove,311.802,292.964,292.703
3,candidate,up,1299.887,1191.093,620.405
3,candidate,down,509.172,428.431,137.452
3,candidate,restore,1308.137,1198.291,611.182
3,candidate,remove,431.633,348.46,114.101
4,candidate,up,1316.971,1215.591,604.14
4,candidate,down,454.621,364.772,115.382
4,candidate,restore,1333.879,1224.044,615.542
4,candidate,remove,450.036,364.912,113.281
5,compose,up,2650.307,2525.301,1177.758
5,compose,down,349.332,319.591,315.147
5,compose,restore,2582.05,2459.169,1162.396
5,compose,remove,309.842,288.87,302.238
6,compose,up,2833.772,2694.151,1362.9
6,compose,down,328.295,306.211,278.297
6,compose,restore,2587.691,2478.692,1175.046
6,compose,remove,269.642,245.237,225.793
7,candidate,up,1562.501,1442.77,791.079
7,candidate,down,519.717,421.574,156.108
7,candidate,restore,1480.772,1359.428,756.382
7,candidate,remove,514.789,424.192,131.271
