trial,variant,phase,command_ms,cli_cpu_ms,engine_cpu_ms,combined_cpu_ms,phase_wall_ms,cli_max_rss_bytes
0,lsof,up,1144.941,99.45,670.658,770.108,1276.772,11091968
0,lsof,down,405.097,73.869,113.721,187.59,517.068,9650176
0,lsof,restore,1076.79,98.512,575.959,674.471,1210.114,11075584
0,lsof,remove,457.281,77.389,126.576,203.965,573.68,9601024
1,native,up,1159.777,51.066,823.947,875.013,1249.093,11272192
1,native,down,295.907,13.335,108.424,121.759,336.751,9535488
1,native,restore,979.894,36.943,600.765,637.708,1065.467,11190272
1,native,remove,389.11,19.411,153.619,173.03,435.118,9584640
2,native,up,918.339,36.733,571.074,607.807,980.283,11157504
2,native,down,323.328,13.242,109.765,123.007,362.53,9519104
2,native,restore,1030.11,37.123,593.562,630.686,1093.136,11173888
2,native,remove,393.392,14.06,138.098,152.158,448.035,9519104
3,lsof,up,1199.13,119.478,692.73,812.208,1343.491,11124736
3,lsof,down,503.538,74.625,132.305,206.93,616.475,9666560
3,lsof,restore,1037.176,107.514,583.453,690.967,1174.362,11124736
3,lsof,remove,422.667,77.04,113.88,190.92,533.478,9650176
4,native,up,1016.673,37.316,576.124,613.44,1079.94,11157504
4,native,down,376.244,13.085,140.661,153.746,428.784,9519104
4,native,restore,1097.074,48.82,794.066,842.886,1167.735,11255808
4,native,remove,386.363,15.987,131.388,147.375,429.074,9535488
5,lsof,up,1076.192,102.026,661.054,763.08,1201.414,11075584
5,lsof,down,475.669,75.293,136.233,211.526,583.22,9633792
5,lsof,restore,1081.08,100.315,609.992,710.307,1218.266,11075584
5,lsof,remove,451.19,78.709,123.741,202.45,557.309,9666560
6,lsof,up,1231.023,120.028,768.499,888.527,1366.297,11108352
6,lsof,down,387.914,74.744,115.105,189.849,500.784,9617408
6,lsof,restore,1113.345,100.321,657.832,758.153,1250.073,11141120
6,lsof,remove,410.468,73.01,103.683,176.693,526.194,9601024
7,native,up,1036.842,36.281,582.992,619.273,1098.875,11124736
7,native,down,314.081,13.026,105.082,118.108,353.133,9519104
7,native,restore,1179.169,42.199,784.907,827.106,1242.928,11190272
7,native,remove,377.998,14.183,144.33,158.513,420.567,9568256
