mode,stage,median_footprint_mib,host_cpu_seconds_at_last_sample
reclamation-disabled,before,695.8295669555664,1.525113291
reclamation-disabled,filled,1245.517593383789,5.639841624
reclamation-disabled,released,1247.3457412719727,5.687219041
reclamation-disabled,inflated,1224.9707412719727,5.831093416
reclamation-disabled,deflated,1224.9863662719727,5.908787958
reclamation-disabled,reused,1652.5336990356445,9.470873499
reclamation-disabled,cleaned,1650.5024490356445,9.529751666
reclamation-enabled,before,648.4076461791992,1.482039124
reclamation-enabled,filled,1223.4706954956055,5.560797125
reclamation-enabled,released,846.5955810546875,5.614406625
reclamation-enabled,inflated,822.4549331665039,5.6952845
reclamation-enabled,deflated,798.0330123901367,5.768937791
reclamation-enabled,reused,1226.9553680419922,9.306568666
reclamation-enabled,cleaned,860.9708786010742,9.368391541
