stage,component,samples,duration_seconds,process_count,cpu_one_core_percent,footprint_median_bytes,footprint_min_bytes,footprint_max_bytes,footprint_first_bytes,footprint_last_bytes
pool-idle,candidate,294,599.1649027918465,1,0.45353591112195885,652723592.0,652559752,652723592,652559752,652723592
pool-idle,shared-orbstack,294,599.1649027918465,2,1.0594934041397568,2509636080.0,2444221304,2645877256,2645778952,2509677040
pool-idle,stable-daemon-root,294,599.1649027918465,1,0.5741298195156587,71000976.0,70910864,72090536,70960016,72041384
pool-idle,observer-and-reaped-cli-children,294,599.1649027918465,,1.5123504327068384,,,,,
candidate-graph-up-settled,candidate,30,59.09660124988295,1,48.16599802523564,920880808.0,895583864,950142632,895583864,950142632
candidate-graph-up-settled,shared-orbstack,30,59.09660124988295,2,0.8426339052806127,2490776956.0,2466094016,2564399600,2509890032,2498157720
candidate-graph-up-settled,stable-daemon-root,30,59.09660124988295,1,0.512977329640595,72074152.0,72025000,72106920,72041384,72106920
candidate-graph-up-settled,observer-and-reaped-cli-children,30,59.09660124988295,,1.3475901881947538,,,,,
candidate-graph-down-settled,candidate,29,57.308907832950354,1,0.39376593889694184,950372008,950355624,950372008,950355624,950372008
candidate-graph-down-settled,shared-orbstack,29,57.308907832950354,2,0.8087473824331283,2498798016,2479889272,2557518344,2498239688,2557518344
candidate-graph-down-settled,stable-daemon-root,29,57.308907832950354,1,0.5948084179053374,72074152,72025000,72106920,72025000,72106920
candidate-graph-down-settled,observer-and-reaped-cli-children,29,57.308907832950354,,1.641273644128311,,,,,
candidate-graph-remove-settled,candidate,30,59.481924042105675,1,0.4904515190085177,951699112.0,951682728,951699112,951682728,951699112
candidate-graph-remove-settled,shared-orbstack,30,59.481924042105675,2,1.0550373951517933,2484936504.0,2470616024,2507022808,2470616024,2485215080
candidate-graph-remove-settled,stable-daemon-root,30,59.481924042105675,1,0.5802823102286809,72106920.0,72025000,72139688,72106920,72139688
candidate-graph-remove-settled,observer-and-reaped-cli-children,30,59.481924042105675,,1.86806835504083,,,,,
hack-4.2.0-graph-up-settled,candidate,29,57.3664495840203,1,0.43478091603820757,951715496,951715496,951715496,951715496,951715496
hack-4.2.0-graph-up-settled,shared-orbstack,29,57.3664495840203,2,39.80112533818042,2985861640,2839518912,3161989640,2902221320,3161989640
hack-4.2.0-graph-up-settled,stable-daemon-root,29,57.3664495840203,1,3.3617224841071445,72188840,72041384,95863720,72188840,72090536
hack-4.2.0-graph-up-settled,observer-and-reaped-cli-children,29,57.3664495840203,,1.7777865065647755,,,,,
hack-4.2.0-graph-down-settled,candidate,29,57.31976187508553,1,0.4849307043629187,951715496,951715496,951715496,951715496,951715496
hack-4.2.0-graph-down-settled,shared-orbstack,29,57.31976187508553,2,1.2513937489188665,2974604440,2957073344,3058557424,3058557424,2957122520
hack-4.2.0-graph-down-settled,stable-daemon-root,29,57.31976187508553,1,0.7876103462952956,72106920,72025000,72352680,72090536,72237992
hack-4.2.0-graph-down-settled,observer-and-reaped-cli-children,29,57.31976187508553,,1.7491157799728747,,,,,
hack-4.2.0-graph-remove-settled,candidate,30,59.4878490420524,1,0.4973417626696434,951715496.0,951715496,951715496,951715496,951715496
hack-4.2.0-graph-remove-settled,shared-orbstack,30,59.4878490420524,2,1.3782556945711892,2986574032.0,2937543784,3376177672,3376177672,2938002752
hack-4.2.0-graph-remove-settled,stable-daemon-root,30,59.4878490420524,1,0.624165490901383,72205224.0,72139688,72254376,72205224,72237992
hack-4.2.0-graph-remove-settled,observer-and-reaped-cli-children,30,59.4878490420524,,1.9205888570493517,,,,,
pool-stopped,candidate,29,57.029507332947105,0,0.0,0,0,0,0,0
pool-stopped,shared-orbstack,29,57.029507332947105,2,0.8888899198102252,2857377328,2788842432,3002376712,2954535312,2855543304
pool-stopped,stable-daemon-root,29,57.029507332947105,1,0.6175550894098878,72385448,72237992,72434600,72237992,72385448
pool-stopped,observer-and-reaped-cli-children,29,57.029507332947105,,1.4259968883339356,,,,,
