window,component,seconds,cpu_percent_one_core,median_footprint_mib,identity_stable
empty-pools,candidate,60.009654,0.4120249535183122,610.9700775146484,True
empty-pools,orbstack-total,60.009654,0.9339154979963725,2617.2896041870117,True
empty-pools,stable-daemon,60.009654,0.5801801906739872,77.15771484375,True
empty-pools,observer,60.009654,0.05064088021570662,1.9690933227539062,True
variant-0-candidate-frequent,candidate,60.000931,49.995286323140554,905.392204284668,True
variant-0-candidate-frequent,orbstack-total,60.000931,0.8575262773839292,2533.8051376342773,True
variant-0-candidate-frequent,stable-daemon,60.000931,,78.86083984375,False
variant-0-candidate-frequent,observer,60.000931,0.03742504428806279,2.0003433227539062,True
variant-1-compose-frequent,candidate,60.00984,0.41512969706301495,907.298454284668,True
variant-1-compose-frequent,orbstack-total,60.00984,38.48384066346453,2889.507598876953,True
variant-1-compose-frequent,stable-daemon,60.00984,2.5975783038248395,81.18903350830078,True
variant-1-compose-frequent,observer,60.00984,0.041429733856980795,1.9847183227539062,True
variant-2-compose-startup-fast-steady-slow,candidate,60.009974,0.4154505216082913,907.298454284668,True
variant-2-compose-startup-fast-steady-slow,orbstack-total,60.009974,6.944769786102558,2830.7885971069336,True
variant-2-compose-startup-fast-steady-slow,stable-daemon,60.009974,1.090829362798924,81.40778350830078,True
variant-2-compose-startup-fast-steady-slow,observer,60.009974,0.047486481163947845,1.9690933227539062,True
variant-3-candidate-startup-fast-steady-slow,candidate,60.009804,10.37200771393954,908.126579284668,True
variant-3-candidate-startup-fast-steady-slow,orbstack-total,60.009804,0.8168497917440289,2783.8825302124023,True
variant-3-candidate-startup-fast-steady-slow,stable-daemon,60.009804,0.539540380768449,81.50153350830078,True
variant-3-candidate-startup-fast-steady-slow,observer,60.009804,0.040747368546646144,1.9690933227539062,True
variant-4-compose-frequent,candidate,60.009716,0.359758549765508,908.876579284668,True
variant-4-compose-frequent,orbstack-total,60.009716,36.337474431640366,2964.8677291870117,True
variant-4-compose-frequent,stable-daemon,60.009716,2.0735369352522848,82.31403350830078,True
variant-4-compose-frequent,observer,60.009716,0.03629342955064144,1.9847183227539062,True
variant-5-candidate-frequent,candidate,60.00991,47.79600965240574,946.470329284668,True
variant-5-candidate-frequent,orbstack-total,60.00991,0.6773730505511506,2894.085517883301,True
variant-5-candidate-frequent,stable-daemon,60.00991,0.5008380415834652,82.67340850830078,True
variant-5-candidate-frequent,observer,60.00991,0.03197034456475606,1.9222183227539062,True
variant-6-candidate-startup-fast-steady-slow,candidate,60.009983,10.457846933567703,951.8141250610352,True
variant-6-candidate-startup-fast-steady-slow,orbstack-total,60.009983,0.9287665120651677,2880.4442977905273,True
variant-6-candidate-startup-fast-steady-slow,stable-daemon,60.009983,0.5689754702980003,82.67340850830078,True
variant-6-candidate-startup-fast-steady-slow,observer,60.009983,0.040515828841344616,1.9690933227539062,True
variant-7-compose-startup-fast-steady-slow,candidate,60.009818,0.42878233525054177,952.2985000610352,True
variant-7-compose-startup-fast-steady-slow,orbstack-total,60.009818,6.9647149238146335,2770.5073013305664,True
variant-7-compose-startup-fast-steady-slow,stable-daemon,60.009818,1.0126034709853644,82.82965850830078,True
variant-7-compose-startup-fast-steady-slow,observer,60.009818,0.048244883862170684,1.8909683227539062,True
