trial,variant,phase,wall_ms_including_readiness_inspection,command_ms,engine_cpu_ms
0,baseline,up,1575.799,1462.527,947.711
0,baseline,restore,1351.437,1237.623,758.008
0,baseline,down,526.167,436.306,155.197
0,baseline,remove,442.832,352.778,120.282
1,dependency-order,up,1203.002,1089.384,669.818
1,dependency-order,restore,1103.261,988.161,669.159
1,dependency-order,down,510.547,416.83,138.569
1,dependency-order,remove,487.716,393.698,141.251
2,baseline,up,1319.869,1204.066,689.667
2,baseline,restore,1300.756,1192.915,676.353
2,baseline,down,535.894,447.95,149.974
2,baseline,remove,473.459,383.075,127.711
3,baseline,up,1354.899,1243.12,693.186
3,baseline,restore,1303.038,1193.922,684.297
3,baseline,down,524.682,434.189,141.632
3,baseline,remove,454.446,366.911,126.119
4,dependency-order,up,1252.725,1129.04,790.307
4,dependency-order,restore,1199.703,1082.564,762.847
4,dependency-order,down,500.578,408.666,148.011
4,dependency-order,remove,481.17,392.07,141.064
5,baseline,up,1306.535,1190.962,719.108
5,baseline,restore,1317.521,1199.291,680.476
5,baseline,down,560.509,464.675,165.927
5,baseline,remove,485.005,392.106,151.785
6,baseline,up,1293.476,1172.718,694.287
6,baseline,restore,1260.439,1145.648,689.955
6,baseline,down,525.561,434.325,149.471
6,baseline,remove,491.664,399.359,155.472
7,dependency-order,up,1206.463,1087.841,717.439
7,dependency-order,restore,1190.522,1076.079,676.538
7,dependency-order,down,485.276,392.11,139.267
7,dependency-order,remove,505.501,414.814,152.546
8,baseline,up,1308.134,1193.998,683.175
8,baseline,restore,1254.126,1139.899,656.862
8,baseline,down,519.607,435.173,159.204
8,baseline,remove,510.206,418.004,136.039
9,baseline,up,1239.994,1131.658,629.969
9,baseline,restore,1278.397,1170.768,630.598
9,baseline,down,561.508,477.712,139.505
9,baseline,remove,474.686,385.745,130.871
10,dependency-order,up,1115.855,1006.554,609.837
10,dependency-order,restore,1164.246,1050.102,636.216
10,dependency-order,down,502.408,412.753,142.506
10,dependency-order,remove,441.591,349.533,124.303
11,baseline,up,1273.977,1162.302,621.355
11,baseline,restore,1239.561,1126.234,612.577
11,baseline,down,545.89,455.261,138.827
11,baseline,remove,495.124,405.273,135.161
